date,hors,u,v,ws,wd
2009070100,1,3.32,-1.93,3.84,120.2
2009070100,2,2.88,-1.78,3.39,121.76
2009070100,3,2.46,-1.71,2.99,124.85
2009070100,4,2.07,-1.68,2.67,129.09
2009070100,5,1.77,-1.65,2.42,132.96
2009070100,6,1.61,-1.55,2.24,134.05
2009070100,7,1.6,-1.37,2.11,130.46
2009070100,8,1.71,-1.19,2.08,124.72
2009070100,9,1.84,-1.12,2.16,121.38
2009070100,10,1.94,-1.27,2.32,123.11
2009070100,11,2.01,-1.53,2.53,127.29
2009070100,12,2.07,-1.8,2.74,131
2009070100,13,2.13,-1.96,2.9,132.73
2009070100,14,2.24,-2.07,3.05,132.76
2009070100,15,2.45,-2.17,3.27,131.58
2009070100,16,2.77,-2.31,3.61,129.84
2009070100,17,3.13,-2.49,4,128.47
2009070100,18,3.4,-2.66,4.32,128.08
2009070100,19,3.5,-2.81,4.49,128.8
2009070100,20,3.48,-2.9,4.53,129.8
2009070100,21,3.44,-2.89,4.49,130.08
2009070100,22,3.41,-2.75,4.38,128.88
2009070100,23,3.33,-2.47,4.14,126.57
2009070100,24,3.08,-2.05,3.7,123.63
2009070100,25,2.61,-1.51,3.01,120.13
2009070100,26,2.07,-0.99,2.29,115.5
2009070100,27,1.66,-0.61,1.77,110.27
2009070100,28,1.55,-0.5,1.63,107.87
2009070100,29,1.62,-0.54,1.71,108.34
2009070100,30,1.72,-0.58,1.82,108.52
2009070100,31,1.73,-0.51,1.8,106.38
2009070100,32,1.63,-0.38,1.67,103.14
2009070100,33,1.47,-0.29,1.49,101.18
2009070100,34,1.27,-0.3,1.31,103.23
2009070100,35,1.12,-0.35,1.17,107.58
2009070100,36,1.07,-0.37,1.13,109.04
2009070100,37,1.18,-0.3,1.22,104.02
2009070100,38,1.49,-0.25,1.51,99.44
2009070100,39,1.98,-0.37,2.02,100.6
2009070100,40,2.65,-0.77,2.76,106.2
2009070100,41,3.39,-1.37,3.66,111.99
2009070100,42,4.07,-2.04,4.55,116.67
2009070100,43,4.57,-2.68,5.3,120.37
2009070100,44,4.89,-3.21,5.85,123.29
2009070100,45,5.04,-3.59,6.19,125.43
2009070100,46,5.02,-3.76,6.27,126.81
2009070100,47,4.8,-3.73,6.08,127.81
2009070100,48,4.34,-3.5,5.58,128.85
2009070112,1,2.22,-2,2.98,131.99
2009070112,2,2.2,-2.33,3.21,136.65
2009070112,3,2.4,-2.54,3.49,136.66
2009070112,4,2.72,-2.65,3.79,134.24
2009070112,5,3.07,-2.71,4.1,131.45
2009070112,6,3.36,-2.8,4.38,129.85
2009070112,7,3.5,-2.95,4.58,130.13
2009070112,8,3.49,-3.05,4.64,131.16
2009070112,9,3.34,-2.96,4.46,131.6
2009070112,10,3.06,-2.59,4.01,130.24
2009070112,11,2.77,-2.06,3.45,126.58
2009070112,12,2.58,-1.52,2.99,120.54
2009070112,13,2.56,-1.12,2.79,113.65
2009070112,14,2.61,-0.86,2.75,108.17
2009070112,15,2.59,-0.7,2.68,105.14
2009070112,16,2.38,-0.61,2.46,104.37
2009070112,17,2.01,-0.5,2.07,104.04
2009070112,18,1.52,-0.28,1.54,100.41
2009070112,19,0.97,0.1,0.98,84.06
2009070112,20,0.49,0.47,0.68,46.41
2009070112,21,0.2,0.6,0.64,17.99
